"PEP"	"A1"	"A2"	"A3"	"B1"	"B2"	"B3"	"C1"	"C2"	"C3"	"D1"	"D2"	"D3"
"HPRR1010001"	1	1	1	1	1	1	1	1	1	0	0	0
"HPRR1060049"	1	0	1	1	1	1	0	0	0	0	0	0
"HPRR1310038"	0.995	1	0.9959	1	1	1	1	1	1	0	0	0
"HPRR1320009"	1	1	1	0	0	0	1	1	1	0	0	0
"HPRR1370013"	1	1	1	1	1	1	1	1	1	0	0	0
"HPRR1370116"	1	1	1	0.9947	0.9943	1	1	1	1	0	1	0.9904
"HPRR140662"	1	1	1	1	1	1	1	1	1	0	0	0
"HPRR140746"	1	1	1	1	1	1	0.5558	0.9858	0	0	0	0
"HPRR1410031"	1	1	1	1	1	1	1	1	1	0	0	0
"HPRR1410063"	1	1	1	1	1	1	0.9971	0.9947	0.9978	0	0	0
"HPRR1440139"	1	1	1	1	1	1	1	1	1	0	0	0
"HPRR1450059"	1	1	1	1	1	1	1	1	1	0	0	0
"HPRR1450073"	1	1	1	1	1	1	1	1	1	0	0	0
"HPRR1450141"	1	1	1	1	1	1	1	1	1	0	0	0
"HPRR1450208"	1	1	1	1	1	1	1	1	1	0	0	0
"HPRR1450215"	1	0.9998	1	1	1	1	1	1	1	0	0	0
"HPRR1450319"	1	1	1	0	0	0	1	1	1	0	0	0
"HPRR1450358"	1	1	1	1	1	1	1	1	1	0	0	0
"HPRR1450363"	0.9991	0.9991	1	1	1	1	1	1	1	0	0	0
"HPRR1450675"	1	1	1	1	1	1	1	1	1	0	0	0
"HPRR1460001"	1	1	1	1	1	1	1	1	1	0	0	0
"HPRR1470130"	1	0.9958	0.996	1	1	1	1	0.9997	0.9942	0	0	0
"HPRR1710003"	1	1	1	1	1	1	1	1	1	0	0	0
"HPRR1840184"	1	1	1	1	1	1	1	1	1	0	0	0
"HPRR1850008"	1	1	1	1	1	1	1	1	1	0	0	0
"HPRR1900002"	1	1	1	1	1	1	1	1	1	0	0	0
"HPRR1920021"	1	1	0.9987	1	1	1	1	1	1	0	0	0
"HPRR1950075"	1	1	1	1	1	1	1	1	1	0	0	0
"HPRR1950229"	1	1	1	1	1	1	1	1	1	0	0	0
"HPRR1950268"	1	1	1	1	1	1	1	1	1	0	0	0
"HPRR1950303"	1	1	1	0	0	0	1	1	1	0	0	0
"HPRR1950385"	1	1	1	1	1	1	1	1	1	0	0	0
"HPRR1950515"	1	1	1	1	1	1	1	1	1	0	0	0
"HPRR1950528"	1	1	1	1	1	1	1	1	1	0	0	0.9967
"HPRR1950679"	1	1	1	1	1	1	1	1	1	0	0	0.9967
"HPRR1951262"	1	1	1	0.9999	0	1	1	1	1	0	0	0
"HPRR1951263"	1	1	1	1	1	1	1	1	1	0	0	0
"HPRR1951347"	1	1	1	1	0	1	1	1	1	0	0	0
"HPRR1951371"	1	1	1	1	1	1	1	1	1	0	0	0
"HPRR1951385"	0	0	0	1	1	0	0	0	0	0	0	0
"HPRR1951431"	1	1	1	1	1	1	1	1	1	0	0	0
"HPRR1951583"	1	1	1	1	1	1	1	1	1	0	0	0
"HPRR1951645"	1	1	1	1	1	1	1	1	1	0	0	0
"HPRR1951653"	0.9968	0.998	0.8894	1	1	1	1	1	1	0	0	0
"HPRR1951747"	1	1	1	1	1	1	1	1	1	0	0	0
"HPRR1951788"	0	0	0	1	0	0	1	1	0.9807	0	0	0
"HPRR1951792"	1	1	1	1	1	1	1	1	1	0	0	0
"HPRR1951798"	1	1	1	1	1	1	1	1	1	0	0	0
"HPRR1951865"	1	1	1	1	1	1	1	1	1	0	0	0
"HPRR1952061"	1	1	1	1	1	1	1	1	1	0	0	0
"HPRR1952070"	1	1	1	1	1	1	0	0	0	0	0	0
"HPRR1952500"	1	1	1	1	1	1	1	1	1	0	0	0
"HPRR2010050"	1	1	1	1	1	1	1	1	1	0	0	0
"HPRR2050028"	1	1	1	1	1	1	1	1	1	0	0	0
"HPRR2050032"	1	1	1	1	1	1	1	1	1	0	0	0
"HPRR2050226"	0.9996	0.997	1	1	1	1	1	1	1	0	0	0
"HPRR2050313"	1	1	1	1	1	1	1	1	1	0	0	0
"HPRR2050324"	1	1	1	1	1	1	1	1	1	0	0	0.9967
"HPRR2090043"	1	1	1	0	0	1	1	1	1	0	0	0
"HPRR2110056"	1	1	1	1	1	1	1	1	1	0	0	0
"HPRR2110077"	1	1	1	1	1	1	1	1	1	0	0	0
"HPRR2110192"	1	1	1	1	1	1	1	1	1	0	0	0
"HPRR2110442"	1	1	1	1	1	1	0.9995	0.9995	1	0	0	0
"HPRR2110489"	1	1	1	1	1	1	1	1	1	0	0	0.9967
"HPRR2110498"	1	1	1	1	1	1	1	1	1	0	0	0
"HPRR2150237"	1	1	1	1	1	1	1	1	1	0	0	0
"HPRR2150393"	1	1	1	0	0	0	1	1	1	0	0	0
"HPRR2180104"	1	1	1	0	0	0	1	1	1	0	0	0.9965
"HPRR2200011"	1	1	1	1	1	1	1	1	1	0	1	0.9966
"HPRR220635"	1	1	1	1	1	1	0	0	0	0	0	0
"HPRR2210058"	1	1	1	0	0	0	1	1	1	0	0	0
"HPRR2210116"	1	1	1	0	1	1	1	1	1	0	0	0
"HPRR2210165"	1	1	1	1	1	1	1	1	1	0	0	0
"HPRR2250253"	0	0	0	1	1	1	0	0	0.8241	0	0	0
"HPRR2250382"	1	1	1	1	1	1	1	1	1	0	0	0
"HPRR2250386"	1	1	1	1	1	1	1	1	1	0	0	0
"HPRR2260008"	1	1	1	1	1	1	1	1	1	0	0	0
"HPRR2280170"	1	1	0.9997	1	1	1	1	1	1	0	0	0
"HPRR2300033"	0.9985	0.9986	0.9987	1	1	1	1	0.9998	0.9997	0	0	0
"HPRR230870"	0	0	0	0	0	0	1	1	0.9759	0	0	0
"HPRR230897"	1	1	1	1	1	1	1	1	1	0	0	0.9967
"HPRR2310049"	1	1	1	1	1	1	1	1	1	0	0	0
"HPRR2310052"	1	1	1	1	1	1	1	1	1	0	0	0
"HPRR231541"	0.9951	0.9958	0.996	1	1	1	1	1	1	0	0	0
"HPRR231756"	0.9948	1	1	0	0	0	1	1	1	0	0	0
"HPRR231837"	1	1	1	1	1	1	1	1	1	0	0	0
"HPRR2320042"	1	1	1	0	0	0	1	1	1	0	0	0
"HPRR2320218"	1	1	1	1	1	1	1	1	1	0	0	0
"HPRR2320220"	1	1	1	1	1	1	1	1	1	0	0	0
"HPRR232384"	1	1	1	1	1	0.8455	1	1	1	0	0	0
"HPRR232666"	1	1	1	1	1	1	0.9936	0.9406	0	0	0	0
"HPRR232684"	1	1	1	1	1	1	0	0	0	0	0	0
"HPRR2330125"	1	1	0.999	1	1	1	1	1	1	0	0	0
"HPRR2330128"	0	0	0	0	0	0	0.9936	0	0	0	0	0
