"PEP"	"A1"	"A2"	"A3"	"B1"	"B2"	"B3"	"C1"	"C2"	"C3"	"D1"	"D2"	"D3"
"HPRR1010001"	1	1	1	0	0	0	1	1	1	0	0	0
"HPRR1060049"	0	0	0	0	0	0	0	0	0	0	0	0
"HPRR1310038"	0.9974	0	0.9995	0	0	0.9855	0.9972	1	0.9977	0	0	0
"HPRR1320009"	1	1	1	0	0	0	1	1	1	0	0	0
"HPRR1370013"	1	1	1	0	0	0	1	1	1	0	0	0
"HPRR1370116"	0	0	0	0	0	0	1	1	1	0.9351	0	0
"HPRR140662"	1	1	1	0	0	0	1	1	1	0	0	0
"HPRR140746"	0	0	0	0	0	1	0.9988	1	0.5421	0	0	0
"HPRR1410031"	1	1	1	0	0	0.9624	1	1	1	0	0	0
"HPRR1410063"	0.576	0.9999	0.9999	0	0	0	1	1	0.9998	0	0	0
"HPRR1440139"	1	1	1	0	0	0	1	1	1	0	0	0
"HPRR1450059"	1	1	1	0	0	0	1	1	1	0	0.4814	0
"HPRR1450073"	1	1	1	0	0	0	1	1	1	0	0	0
"HPRR1450141"	1	1	1	0	0	0.8915	1	1	1	0	0	0
"HPRR1450208"	1	1	1	0	0	0.6593	1	1	1	0	0.9919	0
"HPRR1450215"	1	1	1	0	0	0	1	1	1	0	0	0
"HPRR1450319"	1	1	1	0	0	0	1	1	1	0	0	0
"HPRR1450358"	1	1	1	0	0	0	1	1	1	0	0	0
"HPRR1450363"	0.9999	0.9997	0.9997	0	0	0	1	1	1	0	0	0
"HPRR1450675"	1	1	1	0	0	0	1	1	1	0	0	0
"HPRR1460001"	1	1	1	0	0	0	1	1	1	0	0	0
"HPRR1470130"	0	0.9963	0.9814	0	0	0	0.9999	0.9974	0.9952	0	0	0
"HPRR1710003"	1	1	1	0	0	0	1	1	1	0	0	0
"HPRR1840184"	1	1	0.9987	0	0	0	1	1	1	0	0	0
"HPRR1850008"	1	1	1	0	0	0	1	1	1	0	0	0
"HPRR1900002"	1	1	1	0	0	0	1	1	1	0	0	0
"HPRR1920021"	0.9979	0.9982	0.9973	0	0	0	1	1	1	0	0	0
"HPRR1950075"	1	1	1	0	0	0	1	1	1	0	0	0
"HPRR1950229"	1	0.9999	1	0	0	0	1	1	1	0	0	0
"HPRR1950268"	1	1	1	0	0	0	1	1	1	0	0	0
"HPRR1950303"	1	1	1	0	1	1	1	1	1	0	1	0
"HPRR1950385"	1	1	1	0	0	0	1	1	1	0	0	0
"HPRR1950515"	1	1	1	0	0	0	1	1	1	0	0	0
"HPRR1950528"	1	1	1	0	0	0	1	1	1	0	0	0.9953
"HPRR1950679"	1	1	1	0.5807	0.9901	0.9993	1	1	1	0	0.8841	0.9928
"HPRR1951262"	1	1	1	0.7483	0.4928	0.9981	1	1	1	0	0	0
"HPRR1951263"	0.998	1	1	0	0	0	1	1	1	0	0	0
"HPRR1951347"	1	1	1	0.9964	0	0	1	1	1	0	0	0
"HPRR1951371"	1	1	1	0	0	0	1	1	1	0	0	0
"HPRR1951385"	0	0	0	0.992	0	0	0	0	0	0	0.9773	0
"HPRR1951431"	1	1	1	0	0	0	1	1	1	0	0	0
"HPRR1951583"	1	1	1	0	0	0	1	1	1	0	0	0
"HPRR1951645"	1	1	1	0	0	0	1	1	1	0	0	0
"HPRR1951653"	0.9937	0.997	0.9821	0	0	0	1	1	1	0	0	0
"HPRR1951747"	0	0.6887	0.9995	0	0	0	1	1	1	0	0.7966	0
"HPRR1951788"	1	1	1	0	1	1	0.9996	0.9997	0.9716	0	0	0
"HPRR1951792"	1	1	1	0	0	0	1	1	1	0	0	0
"HPRR1951798"	1	1	1	0	0	0	1	1	1	0	0	0
"HPRR1951865"	1	1	1	0	0.969	0	1	1	1	0	0	0
"HPRR1952061"	1	0.9997	0.9993	0	0	0	1	1	1	0.8454	0	0
"HPRR1952070"	0	0	0	0	0	0	1	1	1	0	0	0
"HPRR1952500"	1	1	1	0	0	0	1	1	1	0	0	0
"HPRR2010050"	1	0	1	0	0	0	1	1	1	0	0	0
"HPRR2050028"	0.9999	1	1	0	0	0	1	1	1	0	0	0
"HPRR2050032"	1	1	1	0	0.892	0	1	1	1	0	0	0
"HPRR2050226"	1	1	1	0	0	0	1	1	1	0	0	0.8306
"HPRR2050313"	1	1	1	0	0	0	1	1	1	0	0.9955	0
"HPRR2050324"	1	1	1	1	1	0	1	1	1	0	0.976	0.9957
"HPRR2090043"	1	1	1	1	1	0	1	1	1	0	0	0
"HPRR2110056"	1	1	1	0	0	0	1	1	1	0	0	0
"HPRR2110077"	1	0	1	0.9556	0	0	1	1	1	0	0	0
"HPRR2110192"	1	1	1	0	0	0	1	1	1	0	0	0
"HPRR2110442"	1	1	1	0	0	0	0.9963	1	1	0	0	0
"HPRR2110489"	1	0	1	0	0	0	1	1	1	0	0	0.9957
"HPRR2110498"	1	1	1	0	0	0	1	1	1	0	0	0
"HPRR2150237"	1	1	1	0	0	0	1	1	1	0	0	0
"HPRR2150393"	1	1	1	0	0	0	1	1	1	0	0	0
"HPRR2180104"	1	1	1	0	0	0	1	1	1	0	0	0.9949
"HPRR2200011"	1	1	1	0	0	0	1	1	1	0	0	0.9906
"HPRR220635"	0	0	0	0	0.9942	0	0	0	0	0	0	0
"HPRR2210058"	1	1	1	0.9964	0.9965	0	1	1	1	0	0	0
"HPRR2210116"	1	1	1	0	0	0	1	1	1	0	0	0
"HPRR2210165"	1	1	1	0	0	0	1	1	1	0.3074	0	0
"HPRR2250253"	0	0	0	0	0.5329	0	0	0	0	0	0	0
"HPRR2250382"	0	0	0	0	0	0	1	1	1	0	0	0
"HPRR2250386"	1	0.6749	0.9998	0	0.9142	0	1	1	1	0	0	0
"HPRR2260008"	0.9987	0.9968	1	0	0	0	1	1	1	0	0	0
"HPRR2280170"	0.9986	1	0	0	0	0.999	1	1	1	0	0	0
"HPRR2300033"	1	0.9975	0.9968	0	0	0	0.9994	0.9982	0.9994	0	0	0
"HPRR230870"	1	1	1	1	1	1	0.9998	0.9955	0.8878	0	0	0
"HPRR230897"	1	1	1	0	0	0	1	1	1	0	0	0
"HPRR2310049"	1	1	1	0	0	0	0	0	0	0	0	0
"HPRR2310052"	1	1	1	0	0	0	1	1	1	0	0	0
"HPRR231541"	0.9979	0.9981	0.9988	0.6876	0	0	1	0.9999	1	0	0	0
"HPRR231756"	0.9948	1	1	0	0	0	1	1	1	0	0	0
"HPRR231837"	1	1	1	0	0	0.6692	1	1	1	0	0	0
"HPRR2320042"	1	1	1	0.9967	1	0.9963	1	1	1	0	0	0
"HPRR2320218"	1	1	1	0	0	0.717	1	1	1	0	0	0
"HPRR2320220"	1	1	1	0	0	0	1	1	1	0	0	0
"HPRR232384"	1	1	1	0	0.8298	0.9919	1	1	1	0	0	0
"HPRR232666"	0	0	0	0	0	0	0.9623	0.9801	0	0	0	0
"HPRR232684"	0	0	0	0	0	0	0	0	0	0	0	0
"HPRR2330125"	1	1	0.9994	0	0	0	1	1	1	0	0	0
"HPRR2330128"	0	0	0	0	0	0	0.9191	0	0	0	0	0
"HPRR233074"	1	1	1	1	1	1	1	1	1	0	0	0
"HPRR2360054"	1	1	1	0	0	0	1	1	1	0	0	0
"HPRR2390048"	0	0	0	0	0	0	0	0	0	0	0.9955	0
"HPRR2390049"	0.9892	0.9749	0.9709	0	0	0	0.9453	0.9852	1	0	0	0
"HPRR2390052"	0	0	0	0	0	0	1	0	0.9969	0	0	0
"HPRR2390053"	0	0	0	0	0	0	1	0	0	0	0	0
"HPRR2390055"	1	1	0	0	0	0	1	1	1	0	0	0
"HPRR2390061"	1	1	1	0	0	0.7164	1	1	1	0	0	0
"HPRR2440154"	1	1	1	0	0.8732	0	1	1	1	0	0.9955	0
"HPRR2440405"	1	1	1	0	0	0	1	1	1	0	0	0
"HPRR2440464"	0	0.9999	0.9944	0	0	0	0.9982	0.9962	0.9956	0	0	0
"HPRR2440760"	0	0.9958	0.994	0	0	0	0.9969	1	1	0	0	0
"HPRR2441086"	0	0	0	0	0.9739	0	1	1	1	0	0	0
"HPRR2470377"	0.8773	0.9496	0.6619	0	0.6863	0.9964	1	1	1	0	0	0
"HPRR2490019"	0	0	0	0	0	0.6833	0	0	0	0	0	0
"HPRR2500088"	1	1	1	0	0	0	1	1	1	0	0	0
"HPRR2500196"	1	1	1	0	0	0	1	1	1	0	0	0
"HPRR2500368"	1	1	1	1	0.993	0	1	1	1	0	0	0
"HPRR2500716"	1	1	1	0	0	0	1	1	1	0	0	0
"HPRR2501480"	1	1	1	0	0	0	1	1	1	0	0	0
"HPRR2510213"	0.9989	1	1	0	0	0	1	1	1	0	0	0
"HPRR2510306"	1	1	1	0.9981	0	0.7619	1	1	1	0	0	0
"HPRR2540222"	0	0.8254	0	0	0	0	0.9998	0.9988	0.9995	0	0	0
"HPRR2540402"	0.9965	0.9971	0.996	0	0	0	0.9963	0.9962	1	0	0	0
"HPRR2540430"	0	0	0	0	0	0	0	0	0	0	0	0
"HPRR2540435"	0	0	0.9909	0.9967	0.9971	0	1	0.9737	1	0	0	0
"HPRR2540567"	1	1	1	0	0	0	1	1	1	0	0	0
"HPRR2540609"	1	1	1	0	0	0	1	1	1	0	0	0
"HPRR2550362"	0.9996	0.9995	1	0	0	0	1	1	1	0	0	0
"HPRR2550550"	0.9994	0	0.9994	0	0	0	1	1	1	0	0.9941	0
"HPRR2550573"	0.9613	0	0.9923	0	0	0	1	1	1	0	0	0
"HPRR2550633"	1	1	1	0	0	0	1	1	1	0	0	0
"HPRR2551184"	1	1	1	0	0	0	1	1	1	0	0	0
"HPRR2551185"	1	0	1	0	0	0	1	1	1	0	0	0
"HPRR2551249"	1	1	1	0	0	0	1	1	1	0	0	0
"HPRR2551324"	1	1	1	0	0	0	1	1	1	0	0	0
"HPRR2551632"	1	1	1	0	0	0	1	1	1	0	0	0
"HPRR2551682"	1	1	1	0	0	0	1	1	1	0	0	0
"HPRR2551790"	1	1	1	0	0	0	1	1	1	0	0	0
"HPRR2552126"	1	1	1	0.9944	0.9968	0.9966	1	1	1	0	0	0
"HPRR2580010"	0	0	0	0	0	0	0	0	0	0	0	0
"HPRR260088"	0.9997	0.9982	1	0	0	0	1	1	1	0	0.6977	0
"HPRR2620002"	0	1	0	0	0	0	0	0	0	0	0	0
"HPRR2620016"	1	1	1	0	0	0	1	1	1	0	0	0
"HPRR2620054"	1	1	1	0.9951	0	0	1	1	1	0	0	0
"HPRR2640051"	1	1	1	0	0	0	1	1	1	0	0	0
"HPRR2640146"	1	1	1	0	0	0	1	1	1	0	0	0
"HPRR2650003"	1	1	1	0	0	0	1	1	1	0	0	0.9699
"HPRR2700128"	1	1	1	0	0	0	1	1	1	0	0	0.9957
"HPRR2700178"	1	0.9982	1	0	0	0	0	1	0	0	0	0
"HPRR2700179"	1	1	1	0	0	0	1	1	1	0	0	0
"HPRR2750112"	0.9984	0.9982	0.9996	0	0	0	1	1	1	0	0	0
"HPRR2760146"	1	0.9999	1	0	0	0	1	1	1	0	0	0
"HPRR2760180"	1	1	1	0	0	0	1	1	1	0	0	0
"HPRR2760182"	1	1	1	0	0	0	1	1	1	0	0	0
"HPRR2760304"	1	1	1	0	0	0	1	1	1	0	0	0
"HPRR280003"	1	1	1	0	0.8758	0	1	1	1	0	0	0
"HPRR280079"	0.9952	0.9955	1	0.367	0	0	1	1	1	0	0	0
"HPRR280081"	1	1	1	1	1	1	1	1	1	0	0	0
