"FDR"	"A1"	"A2"	"A3"	"B1"	"B2"	"B3"	"C1"	"C2"	"C3"	"D1"	"D2"	"D3"
"HPRR4110123"	0.9499281264973647	1.0	0.9592384671711008	1.0	0.9522402757262433	1.0	1.0	1.0	1.0	0.8138319260152794	0.67724609375	1.0
"HPRR260088"	0.0	1.0	1.0	1.0	1.0	1.0	0.0021141649048625794	1.0	1.0	1.0	1.0	1.0
"HPRR3730024"	0.0	0.0	0.0	0.0	0.0	0.0	0.0021141649048625794	0.0	0.0	1.0	1.0	1.0
"HPRR3730022"	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.9590454692034828	1.0	1.0	1.0
"HPRR4160392"	0.9499281264973647	1.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	0.5327816677275621	1.0	0.4713896457765668
"HPRR4290990"	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
"HPRR4290991"	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
"HPRR4290996"	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
"HPRR4290997"	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
"HPRR4290994"	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
"HPRR4290995"	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
"HPRR3830169"	0.9499281264973647	0.8894148020654045	0.8524431543299468	0.9559330379123584	0.9522402757262433	0.9583127775037	1.0	1.0	1.0	1.0	1.0	1.0
"HPRR4290998"	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
"HPRR4290999"	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
"HPRR4050590"	0.0	0.0	0.0	0.0	0.0	0.0	0.9571606475716065	0.9607213438735178	0.0	0.8675983817579993	0.6261780104712041	0.5793966989186112
"HPRR3830237"	0.9499281264973647	1.0	0.9592384671711008	1.0	1.0	1.0	1.0	0.6797502230151651	1.0	1.0	1.0	1.0
"HPRR2550550"	0.0	0.0	0.0	0.0	0.0	0.0	0.0021141649048625794	0.0	0.0	1.0	0.3962962962962963	1.0
"HPRR3720532"	0.0	0.9564481006532785	0.0	0.9559330379123584	0.0	0.9583127775037	1.0	0.9461367013372957	1.0	1.0	1.0	1.0
"HPRR4320639"	1.0	1.0	1.0	0.2292576419213974	1.0	1.0	0.8329798515376459	1.0	1.0	1.0	1.0	1.0
"HPRR3700338"	1.0	0.925531914893617	1.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0
"HPRR4320637"	0.9256756756756757	0.48048452220726784	0.9340659340659341	0.526395173453997	0.9182046979865772	0.9568517778665602	0.41516709511568123	0.45725915875169604	0.5160051216389244	0.6511873350923483	0.5051020408163265	0.625133120340788
"HPRR4320636"	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
